NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCircElec
7,PARAT,Thierry,M.,ECO,Ecologistes,6703
8,SOTHER,Thierry,M.,UG,Union de la gauche,6703
9,DÔ,Stéphanie,Mme,RN,Rassemblement National,6703
10,KLEIMANN,Félix,M.,DVG,Divers gauche,6703
11,ROBERT,Camille,Mme,EXG,Extrême gauche,6703
12,SYLLA,Mohamed,M.,DVG,Divers gauche,6703
1,BERTHOL,Catherine,Mme,DVD,Divers droite,6704
2,DAUBENBERGER,Delphine,Mme,RN,Rassemblement National,6704
3,MATZ,Bénédicte,Mme,REG,Régionaliste,6704
4,BIGOT,Jean-Louis,M.,REC,Reconquête !,6704
5,KRATTINGER,Raphaële,Mme,UG,Union de la gauche,6704
6,BENHLAL,Mehdi,M.,EXG,Extrême gauche,6704
7,BUFFET,Françoise,Mme,ENS,Ensemble ! (Majorité présidentielle),6704
8,AESCHELMANN,Nelly,Mme,LR,Les Républicains,6704
1,DANTZ,Christian,M.,ECO,Ecologistes,6705
2,SITZENSTUHL,Charles,M.,ENS,Ensemble ! (Majorité présidentielle),6705
3,RUHLMANN,Marc,M.,UG,Union de la gauche,6705
4,MACIA,Bastien,M.,DSV,Droite souverainiste,6705
5,ESTEVE,Thomas,M.,RN,Rassemblement National,6705
6,DUTTER,Patrick,M.,EXG,Extrême gauche,6705
7,COUTAUD,Leo,M.,LR,Les Républicains,6705
8,WEISS MOESSMER,Sarah,Mme,REG,Régionaliste,6705
1,MOREL,Louise,Mme,ENS,Ensemble ! (Majorité présidentielle),6706
2,HAMM,Carine,Mme,REG,Régionaliste,6706
3,GEYER,Ryan,M.,DIV,Divers,6706
4,CAMUS,René,M.,EXG,Extrême gauche,6706
5,RITTER,Sabrina,Mme,REC,Reconquête !,6706
6,MARLE,Patricia,Mme,DSV,Droite souverainiste,6706
7,COUSSEDIERE,Vincent,M.,RN,Rassemblement National,6706
8,ANDRES,Didier,M.,UG,Union de la gauche,6706
9,BIEHLER,Jean,M.,LR,Les Républicains,6706
1,HETZEL,Patrick,M.,LR,Les Républicains,6707
2,WOLFF,Eric,M.,ENS,Ensemble ! (Majorité présidentielle),6707
3,BLOCH,Serge,M.,UG,Union de la gauche,6707
4,LEIPP,Anastasie,Mme,REG,Régionaliste,6707
5,MEYER,Jean,M.,EXG,Extrême gauche,6707
6,KIEFFER,Denis,M.,RN,Rassemblement National,6707
7,WOLFF,Arthur,M.,REC,Reconquête !,6707
1,BATISSE,Stella,Mme,DSV,Droite souverainiste,6708
2,ZEKAGH,Myriam,Mme,UG,Union de la gauche,6708
3,BERNHARDT,Théo,M.,RN,Rassemblement National,6708
4,KOCHERT,Stéphanie,Mme,ENS,Ensemble ! (Majorité présidentielle),6708
5,HACKENSCHMIDT,Nathan,M.,REC,Reconquête !,6708
6,GROSHEITSCH,Claire,Mme,ECO,Ecologistes,6708
7,GSELL,Catherine,Mme,EXG,Extrême gauche,6708
8,KLIPFEL,Christian,M.,DVD,Divers droite,6708
9,VOGT,Victor,M.,DVD,Divers droite,6708
1,LUCAS,Yann,M.,EXG,Extrême gauche,6709
2,THIEBAUT,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle),6709
3,PFRIMMER,Philippe,M.,DVD,Divers droite,6709
4,WOLFF,Marc,M.,RN,Rassemblement National,6709
5,GEROLT,Robin,M.,REC,Reconquête !,6709
6,GLUCK,Maurice,M.,REG,Régionaliste,6709
7,TERRIEN,Olivier,M.,UG,Union de la gauche,6709
1,COUVAL,Cyrielle,Mme,DSV,Droite souverainiste,6801
2,BISCHOFF-BATMA,Ariane,Mme,REC,Reconquête !,6801
3,FRITSCH,Aïcha,Mme,UG,Union de la gauche,6801
4,ZITVOGEL,Thiébault,M.,REG,Régionaliste,6801
5,SCHAFFAR,Gilles,M.,EXG,Extrême gauche,6801
6,KLINKERT,Brigitte,Mme,ENS,Ensemble ! (Majorité présidentielle),6801
7,GNAEDIG,Laurent,M.,RN,Rassemblement National,6801
8,HEMEDINGER,Yves,M.,LR,Les Républicains,6801
1,SÉBERT,Claudine,Mme,DSV,Droite souverainiste,6802
2,OTT,Hubert,M.,ENS,Ensemble ! (Majorité présidentielle),6802
3,BOURGEOIS,Lilian,M.,UG,Union de la gauche,6802
4,OLRY,Victor,M.,REC,Reconquête !,6802
5,AUBERT,Nathalie,Mme,RN,Rassemblement National,6802
