NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCircElec
1,LAHY,Éric,M.,EXG,Extrême gauche,0101
2,MAÎTRE,Christophe,M.,RN,Rassemblement National,0101
3,BRETON,Xavier,M.,LR,Les Républicains,0101
4,GUERAUD,Sébastien,M.,UG,Union de la gauche,0101
5,VINCENT,Cyril,M.,DSV,Droite souverainiste,0101
6,MENDES,Michael,M.,DSV,Droite souverainiste,0101
7,GUILLERMIN,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle),0101
1,KOTARAC,Andréa,M.,RN,Rassemblement National,0102
2,DAUBIÉ,Romain,M.,DVC,Divers centre,0102
3,EYRAUD,Olivier,M.,EXD,Extrême droite,0102
4,GOUTAGNY,Vincent,M.,EXG,Extrême gauche,0102
5,MEYER,Maxime,M.,UG,Union de la gauche,0102
6,NANCHI,Alexandre,M.,LR,Les Républicains,0102
1,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle),0103
2,JOLIE,Christian,M.,UG,Union de la gauche,0103
3,VEILLEROT,Annick,Mme,DSV,Droite souverainiste,0103
4,MAISONNETTE,Cécile,Mme,EXG,Extrême gauche,0103
5,UNAL,Khadija,Mme,LR,Les Républicains,0103
6,DUBARRY,Karine,Mme,RN,Rassemblement National,0103
7,TONIZZO,Sofia,Mme,DIV,Divers,0103
8,KOUASSI,Fulgence,M.,DIV,Divers,0103
1,LIOTIER,Charline,Mme,UG,Union de la gauche,0104
2,BRESSON,Yannick,M.,DIV,Divers,0104
3,NICAUD,Jérémy,M.,DIV,Divers,0104
4,COUSSON,Sylvain,M.,EXG,Extrême gauche,0104
5,COQUELET,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle),0104
6,BUISSON,Jérôme,M.,RN,Rassemblement National,0104
7,BILLOUDET,Guy,M.,LR,Les Républicains,0104
1,CHATELARD,Thomas,M.,ECO,Ecologistes,0105
2,CROZET,Sylvie,Mme,EXG,Extrême gauche,0105
3,BOURDIN,Fabrice,M.,LR,Les Républicains,0105
4,PISANI,Florence,Mme,UG,Union de la gauche,0105
5,ABAD,Damien,M.,DVD,Divers droite,0105
6,DESCOURS,Nathalie,Mme,ENS,Ensemble ! (Majorité présidentielle),0105
7,PATRU,Maria Cristina,Mme,REC,Reconquête !,0105
8,CHAVENT,Marc,M.,UXD,Union de l'extrême droite,0105
1,CULIOLI,Charles,M.,UG,Union de la gauche,0201
2,TRÉGUIER,Philippe,M.,REC,Reconquête !,0201
3,BOUFFLET,Matthieu Léon,M.,DIV,Divers,0201
4,DRAGON,Nicolas,M.,RN,Rassemblement National,0201
5,PERNELLE,Jean-Loup,M.,EXG,Extrême gauche,0201
6,DELAVENNE,Damien,M.,ENS,Ensemble ! (Majorité présidentielle),0201
1,DIVE,Julien,M.,LR,Les Républicains,0202
2,BÉCOURT,Corinne,Mme,EXG,Extrême gauche,0202
3,DUJANCOURT,Anne-Sophie,Mme,UG,Union de la gauche,0202
4,ZANDITÉNAS,Anne-Catherine,Mme,EXG,Extrême gauche,0202
5,TORRE,Philippe,M.,RN,Rassemblement National,0202
6,KACZMAREK,Didier,M.,REC,Reconquête !,0202
1,FOURNIER,Anne-Marie,Mme,REC,Reconquête !,0203
2,CRÉON,Damien,M.,DSV,Droite souverainiste,0203
3,BRICOUT,Jean-Louis,M.,DVG,Divers gauche,0203
4,VOISIN,Laetitia,Mme,EXG,Extrême gauche,0203
5,CASTERMAN,Eddy,M.,EXD,Extrême droite,0203
1,PRIÉ,Lola,Mme,UG,Union de la gauche,0204
2,MAURICE,Benjamin,M.,ENS,Ensemble ! (Majorité présidentielle),0204
3,BEAURAIN,José,M.,RN,Rassemblement National,0204
4,BOUILLAGUET,Flora,Mme,EXG,Extrême gauche,0204
5,GOUJARD,Philippe,M.,EXD,Extrême droite,0204
1,DESSIGNY,Jocelyn,M.,RN,Rassemblement National,0205
2,GILQUIN,Jade,Mme,LR,Les Républicains,0205
3,BELAÏD,Karim,M.,UG,Union de la gauche,0205
4,ROUSSEL,Jeanne,Mme,ENS,Ensemble ! (Majorité présidentielle),0205
5,MERBOUCHE,Yona,Mme,EXG,Extrême gauche,0205
1,AGEZ,Blandine,Mme,REC,Reconquête !,0301
2,MONNET,Yannick,M.,UG,Union de la gauche,0301
3,GUILLAUMIN,Jean-Marie,M.,UDI,Union des Démocrates et Indépendants,0301
4,COLLOT,Jean-Marc,M.,EXG,Extrême gauche,0301
5,LARZAT,Stephane,M.,ENS,Ensemble ! (Majorité présidentielle),0301
6,BARDET,Alexandra,Mme,LR,Les Républicains,0301
7,THÈS,Anne-Marie,Mme,RN,Rassemblement National,0301
1,BOVET,Jorys,M.,RN,Rassemblement National,0302
2,LEFEBVRE,Romain,M.,LR,Les Républicains,0302
3,HERITIER,Louise,Mme,UG,Union de la gauche,0302
4,GONÇALVES,Alice,Mme,REC,Reconquête !,0302
5,ROUSSEAUX,Nicolas,M.,DVD,Divers droite,0302
6,VANCEUNEBROCK,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle),0302
7,LEBEL,Bernard,M.,EXG,Extrême gauche,0302
1,RAY,Nicolas,M.,LR,Les Républicains,0303
2,QUENEY,Rémy,M.,RN,Rassemblement National,0303
3,RAMEAU,Jean-François,M.,EXG,Extrême gauche,0303
4,JEUDI,Aline,Mme,UG,Union de la gauche,0303
1,LAKHLEF TSALAMLAL,Nadia,Mme,UDI,Union des Démocrates et Indépendants,0401
2,RAPONI,Sandra,Mme,LR,Les Républicains,0401
3,ROS,Annabel,Mme,EXG,Extrême gauche,0401
4,CAMPART,Patricia,Mme,REC,Reconquête !,0401
5,GIRARD,Christian,M.,RN,Rassemblement National,0401
6,BLANC,Felix,M.,UG,Union de la gauche,0401
7,GAUVAN,Benoit,M.,ENS,Ensemble ! (Majorité présidentielle),0401
1,REYNAUD,Loan,M.,DVD,Divers droite,0402
2,VAGINAY,Sophie,Mme,UXD,Union de l'extrême droite,0402
3,CYVOCT,Henri,M.,EXG,Extrême gauche,0402
4,WALTER,Léo,M.,UG,Union de la gauche,0402
5,BLANC,Dominique,Mme,ENS,Ensemble ! (Majorité présidentielle),0402
6,CADENEL,Myriam,Mme,REC,Reconquête !,0402
1,SAINTE-MARIE,Jérôme,M.,RN,Rassemblement National,0501
2,BOYER,Pascale,Mme,ENS,Ensemble ! (Majorité présidentielle),0501
3,ALLEMAND,Marie-José,Mme,UG,Union de la gauche,0501
4,BUISSON,Véronique,Mme,EXG,Extrême gauche,0501
5,DEININGER,Dorian,M.,LR,Les Républicains,0501
1,GUIGNARD,Boris,M.,EXG,Extrême gauche,0502
2,FINE,Sébastien,M.,ENS,Ensemble ! (Majorité présidentielle),0502
3,ROSSI,Valérie,Mme,UG,Union de la gauche,0502
4,MONDAIN,Johann,M.,DIV,Divers,0502
5,ALBRAND,Louis,M.,RN,Rassemblement National,0502
1,SALERNO,Olivier,M.,UG,Union de la gauche,0601
2,BOVIS,Maxime,M.,DIV,Divers,0601
3,BEN MOULAY,Lalla Chama,Mme,ECO,Ecologistes,0601
4,MONETTI,Graig,M.,ENS,Ensemble ! (Majorité présidentielle),0601
5,LANGOUET,Alain,M.,EXG,Extrême gauche,0601
6,SPACH,Jean-Claude Wahid,M.,REG,Régionaliste,0601
7,CIOTTI,Eric,M.,UXD,Union de l'extrême droite,0601
8,VANIER-GUÉRIN,Virgile,M.,LR,Les Républicains,0601
1,TONNERRE,Leïla,Mme,UG,Union de la gauche,0602
2,VARRONE,David,M.,ENS,Ensemble ! (Majorité présidentielle),0602
3,PORET-RINCK,Indiana,Mme,EXD,Extrême droite,0602
4,IMBERT,Florent,M.,EXG,Extrême gauche,0602
5,MIRAN,Patrice,M.,ECO,Ecologistes,0602
6,DARAGON,Simon,M.,LR,Les Républicains,0602
7,TIVOLI,Lionel,M.,RN,Rassemblement National,0602
1,JAQUET,Estelle,Mme,EXG,Extrême gauche,0603
2,DELHEZ,Thibault,M.,DSV,Droite souverainiste,0603
3,QUIGNARD,Laure,Mme,UG,Union de la gauche,0603
4,CHAIX,Bernard,M.,UXD,Union de l'extrême droite,0603
5,PRADAL,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),0603
6,CAUSSIN,Marie Françoise,Mme,ECO,Ecologistes,0603
7,VIVO,Marjorie,Mme,ECO,Ecologistes,0603
1,MASSON,Alexandra,Mme,RN,Rassemblement National,0604
2,BEYL,Christine,Mme,ECO,Ecologistes,0604
3,GUEDON,Anne-Pascale,Mme,ENS,Ensemble ! (Majorité présidentielle),0604
4,MARKIEL,Joseph,M.,EXG,Extrême gauche,0604
5,PARENT,Virginie,Mme,UG,Union de la gauche,0604
1,NOFRI,Gaël,M.,ENS,Ensemble ! (Majorité présidentielle),0605
2,D'INTORNI,Christelle,Mme,UXD,Union de l'extrême droite,0605
3,BENOIT,Patrice,M.,DIV,Divers,0605
4,DECOUPIGNY,Fabrice,M.,UG,Union de la gauche,0605
5,BENKEMOUN,Agnès,Mme,EXG,Extrême gauche,0605
6,HVIDSTEN,Axel,M.,ECO,Ecologistes,0605
1,BARTOLI,Daniele,Mme,EXG,Extrême gauche,0606
2,MAZZELLA,Nicole,Mme,UG,Union de la gauche,0606
3,MASSON,Bryan,M.,RN,Rassemblement National,0606
4,TRASTOUR-ISNART,Laurence,Mme,LR,Les Républicains,0606
5,PIACENTINI,Pierre,M.,ECO,Ecologistes,0606
1,FERRAND,Thierry,M.,RN,Rassemblement National,0607
2,DEWASMES,Enzo,M.,DIV,Divers,0607
3,ABRAVANEL,Aline,Mme,ENS,Ensemble ! (Majorité présidentielle),0607
4,PETARD,Christian,M.,EXG,Extrême gauche,0607
5,ZBIROU,Marylin,Mme,ECO,Ecologistes,0607
6,PAUGET,Eric,M.,LR,Les Républicains,0607
7,MEYER-ABBATUCCI,Arthur,M.,UG,Union de la gauche,0607
8,QUINTELA,David,M.,REC,Reconquête !,0607
1,LANDERER,Dorette,Mme,RN,Rassemblement National,0608
2,MARTIN,Alexandra,Mme,LR,Les Républicains,0608
3,CASTRO DEMARIA,Mike,M.,ENS,Ensemble ! (Majorité présidentielle),0608
4,NEUTZLER,Christophe,M.,DIV,Divers,0608
5,PEREIRA,Marie-José,Mme,EXG,Extrême gauche,0608
6,SOUDANT,Lucia,Mme,UG,Union de la gauche,0608
7,ITTY,Anne,Mme,ECO,Ecologistes,0608
1,GALBERT,Franck,M.,RN,Rassemblement National,0609
2,PALMERS,Henriette,Mme,ECO,Ecologistes,0609
3,TABAROT,Michèle,Mme,LR,Les Républicains,0609
4,LIENHARDT,Sylvain,M.,EXD,Extrême droite,0609
5,PÉCOUT,Liliane,Mme,EXG,Extrême gauche,0609
6,GARCIA ABIA,José,M.,UG,Union de la gauche,0609
1,DORNE,Thierry,M.,DSV,Droite souverainiste,0701
2,PORQUET,Céline,Mme,RN,Rassemblement National,0701
3,GINEYS,Séverine,Mme,ENS,Ensemble ! (Majorité présidentielle),0701
4,CHAMBONNET,Pascal,M.,EXG,Extrême gauche,0701
5,VANDER DONCKT,Muriel,Mme,EXG,Extrême gauche,0701
6,SAULIGNAC,Hervé,M.,UG,Union de la gauche,0701
7,CHAIX,Marie-Pierre,Mme,LR,Les Républicains,0701
8,LECLERC,Maryse,Mme,REC,Reconquête !,0701
1,RITZ,Jacky,M.,DSV,Droite souverainiste,0702
2,HEYDEL GRILLERE,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle),0702
3,VALLON,Jean-Paul,M.,DVD,Divers droite,0702
4,VICTORY,Michèle,Mme,UG,Union de la gauche,0702
5,TREBUCHET,Vincent,M.,UXD,Union de l'extrême droite,0702
6,NODIN,Rémy,M.,DIV,Divers,0702
7,MONTREYNAUD,Gérard,M.,REC,Reconquête !,0702
8,JULIEN,Gérard,M.,DIV,Divers,0702
9,GAILLARD,Michèle,Mme,EXG,Extrême gauche,0702
1,FAURE,Alexandre,M.,EXG,Extrême gauche,0703
2,ZAGUEDOUN-REYNAUD,Félix,M.,DIV,Divers,0703
3,BONNETAIN,Quentin,M.,ENS,Ensemble ! (Majorité présidentielle),0703
4,PALLOT,Florence,Mme,UG,Union de la gauche,0703
5,BRUN,Fabrice,M.,DVD,Divers droite,0703
6,TOUZET,Laurent,M.,REG,Régionaliste,0703
7,MARCHISIO,Christophe,M.,EXG,Extrême gauche,0703
8,GRANGIER,Cyrille,M.,RN,Rassemblement National,0703
9,MARCESSE,Jacques,M.,REC,Reconquête !,0703
1,OCTAVE,Nadia,Mme,EXG,Extrême gauche,0801
2,RENNESSON,Arnaud,M.,DIV,Divers,0801
3,TERMET,Flavien,M.,RN,Rassemblement National,0801
4,CHARVET,Christian,M.,EXD,Extrême droite,0801
5,D'ORGEVILLE,Sonia,Mme,ECO,Ecologistes,0801
6,MISSET,Sabine,Mme,LR,Les Républicains,0801
7,LEROUGE,Damien,M.,UG,Union de la gauche,0801
8,VUIBERT,Lionel,M.,ENS,Ensemble ! (Majorité présidentielle),0801
1,BENYOUCEF,Patrick,M.,EXG,Extrême gauche,0802
2,TAKAWE,Mink,Mme,EXG,Extrême gauche,0802
3,MESTER,Pauline,Mme,RN,Rassemblement National,0802
4,MATHOT,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),0802
5,LOYEZ,Gilles,M.,UG,Union de la gauche,0802
6,CORDIER,Pierre,M.,DVD,Divers droite,0802
1,AUGIER,Laure,Mme,EXG,Extrême gauche,0803
2,WARSMANN,Jean-Luc,M.,DVC,Divers centre,0803
3,ROGER,Isabelle,Mme,RN,Rassemblement National,0803
4,PERRIN,Sophie,Mme,UG,Union de la gauche,0803
1,GARNIER,Jean-Marc,M.,RN,Rassemblement National,0901
2,MASCETTI,Pascal,M.,REC,Reconquête !,0901
3,LAPEYRE,Gisèle,Mme,EXG,Extrême gauche,0901
4,FROGER,Martine,Mme,UG,Union de la gauche,0901
1,DE KERIMEL,Yann,M.,DVD,Divers droite,0902
2,TESTARD,Théodora,Mme,EXG,Extrême gauche,0902
3,TARRIEUX-ANTRANIKIAN,Alexandra,Mme,REC,Reconquête !,0902
4,ALOZY,Michèle,Mme,RN,Rassemblement National,0902
5,PANIFOUS,Laurent,M.,UG,Union de la gauche,0902
1,GUITTON,Jordan,M.,RN,Rassemblement National,1001
2,MANIERI-BIGORGNE,Chris,M.,LR,Les Républicains,1001
3,BARRY,Alice,Mme,UG,Union de la gauche,1001
4,PAILLARD,Lionel,M.,EXG,Extrême gauche,1001
5,BEURY,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),1001
1,SEBBARI,Samira,Mme,UG,Union de la gauche,1002
2,FONTAINE-GARCIA,Salomé,Mme,ENS,Ensemble ! (Majorité présidentielle),1002
3,BAZIN-MALGRAS,Valérie,Mme,LR,Les Républicains,1002
4,VALLÉE,Romain,M.,EXG,Extrême gauche,1002
5,FERRAND,Albéric,M.,RN,Rassemblement National,1002
1,GIRARDIN,Olivier,M.,UG,Union de la gauche,1003
2,RICHARD,Olivier,M.,DVD,Divers droite,1003
3,RANC,Angélique,Mme,RN,Rassemblement National,1003
4,LEPRINCE,Didier,M.,LR,Les Républicains,1003
5,SCHERRER,Luc,M.,ENS,Ensemble ! (Majorité présidentielle),1003
6,ANDRIEUX,Pascal,M.,EXG,Extrême gauche,1003
7,COLLOT-TOUZÉ,Nelly,Mme,ECO,Ecologistes,1003
1,PEREZ,Jean-Claude,M.,ENS,Ensemble ! (Majorité présidentielle),1101
2,TURCHETTO,Aurélien,M.,DVG,Divers gauche,1101
3,GADRAT,Nicole,Mme,EXG,Extrême gauche,1101
4,COFFINET,Fabrice,M.,REC,Reconquête !,1101
5,MARIN,Jean-Marc,M.,LR,Les Républicains,1101
6,AMALRIC,Laure-Nelly,Mme,DVC,Divers centre,1101
7,FERRÉ,Monique,Mme,REG,Régionaliste,1101
8,BARTHÈS,Christophe,M.,RN,Rassemblement National,1101
9,POUTOU,Philippe,M.,UG,Union de la gauche,1101
1,BREYTON,Christine,Mme,ENS,Ensemble ! (Majorité présidentielle),1102
2,LENFANT,Gérard,M.,DIV,Divers,1102
3,BRUN,Alain,M.,DVD,Divers droite,1102
4,GRAU,Nicole,Mme,REG,Régionaliste,1102
5,FALCON,Frédéric,M.,RN,Rassemblement National,1102
6,VIGIER,Annette,Mme,EXG,Extrême gauche,1102
7,PEYRE,Alain,M.,REC,Reconquête !,1102
8,THIVENT,Viviane,Mme,UG,Union de la gauche,1102
1,GALONNIER,Dominique,M.,EXG,Extrême gauche,1103
2,CHAMPION,Christine,Mme,UDI,Union des Démocrates et Indépendants,1103
3,ANDRIEU,Philippe,M.,UG,Union de la gauche,1103
4,BIANCO,Bernard,M.,DIV,Divers,1103
5,RANCOULE,Julien,M.,RN,Rassemblement National,1103
6,SOREL-LESTIN,Sylvie,Mme,ENS,Ensemble ! (Majorité présidentielle),1103
7,MARTEEL,Nathalie,Mme,REC,Reconquête !,1103
8,LECLERC,Jean-François,M.,LR,Les Républicains,1103
1,THEBAULT,Léon,M.,UG,Union de la gauche,1201
2,MAZARS,Stéphane,M.,ENS,Ensemble ! (Majorité présidentielle),1201
3,DA CRUZ,Antoine,M.,DVD,Divers droite,1201
4,SAINT-AVIT,Arlette,Mme,EXG,Extrême gauche,1201
5,CHARTIER,Jean-Philippe,M.,RN,Rassemblement National,1201
1,PAROLIN,Marie-Christine,Mme,RN,Rassemblement National,1202
2,ALEXANDRE,Laurent,M.,UG,Union de la gauche,1202
3,ARMET,Jean-Philippe,M.,DSV,Droite souverainiste,1202
4,EL HEDRI,Lucile,Mme,EXG,Extrême gauche,1202
5,DEGUARA,Samuel,M.,ENS,Ensemble ! (Majorité présidentielle),1202
1,BOUIGUE,Richard,M.,UG,Union de la gauche,1203
2,ROUSSET,Jean-François,M.,ENS,Ensemble ! (Majorité présidentielle),1203
3,COMBES,Bernard,M.,EXG,Extrême gauche,1203
4,NOEL,Thierry,M.,ECO,Ecologistes,1203
5,FEVRE,Pierre-Antoine,M.,UXD,Union de l'extrême droite,1203
1,LÉCORCHÉ,Pascaline,Mme,UG,Union de la gauche,1301
2,GRISETI,Monique,Mme,RN,Rassemblement National,1301
3,AGRESTI-ROUBACHE,Sabrina,Mme,ENS,Ensemble ! (Majorité présidentielle),1301
4,CARAVELLAZI,Céline,Mme,DSV,Droite souverainiste,1301
5,CECONE,Marc,M.,EXG,Extrême gauche,1301
6,MOYAL,Salomé,Mme,REC,Reconquête !,1301
1,GRAFFEO,Jean-Marc,M.,REC,Reconquête !,1302
2,LHARDIT,Laurent,M.,UG,Union de la gauche,1302
3,PITOLLAT,Claire,Mme,ENS,Ensemble ! (Majorité présidentielle),1302
4,RIOULT,Olivier,M.,RN,Rassemblement National,1302
5,CARADEC,Laure-Agnès,Mme,LR,Les Républicains,1302
6,RODINSON,Claudine,Mme,EXG,Extrême gauche,1302
7,ROCHE POGGI,Hugo,M.,DVG,Divers gauche,1302
1,KESSACI,Amine,M.,UG,Union de la gauche,1303
2,GRANDEL,Jacqueline,Mme,EXG,Extrême gauche,1303
3,DE MONTGOLFIER,Alexia,Mme,ECO,Ecologistes,1303
4,COLEOU,Juliette,Mme,EXG,Extrême gauche,1303
5,AYCARD-DIESTE,Celine,Mme,ENS,Ensemble ! (Majorité présidentielle),1303
6,KOUBI-FLOTTE,Pierre-Olivier,M.,LR,Les Républicains,1303
7,LELOUIS,Gisèle,Mme,RN,Rassemblement National,1303
8,FOURNIER,Bernard,M.,REC,Reconquête !,1303
1,TREVISAN,Florian,M.,REC,Reconquête !,1304
2,FERRANDI,Lea Felice,Mme,REG,Régionaliste,1304
3,DEMONT,Anthony,M.,ECO,Ecologistes,1304
4,BEHAIRI,Leila,Mme,ECO,Ecologistes,1304
5,BOMPARD,Manuel,M.,UG,Union de la gauche,1304
6,TORCHI,Malika,Mme,ENS,Ensemble ! (Majorité présidentielle),1304
7,QUINQUIS,Aurélie,Mme,RN,Rassemblement National,1304
8,BONNET,Isabelle,Mme,EXG,Extrême gauche,1304
9,VISAGE,Kylian Jacky Jean-Luc,M.,DIV,Divers,1304
10,IGO,Carime,M.,LR,Les Républicains,1304
11,PERNICE,Stéphane,M.,EXG,Extrême gauche,1304
12,FAYE,Eva-Françoise,Mme,DVG,Divers gauche,1304
1,MALINCONI,Ambroise,M.,LR,Les Républicains,1305
2,BOUDET,Maxime,M.,ENS,Ensemble ! (Majorité présidentielle),1305
3,BLANC,Marcel,M.,REC,Reconquête !,1305
4,POPELARD,Allan,M.,UG,Union de la gauche,1305
5,PLEZ,Barthélémy,M.,ECO,Ecologistes,1305
6,MALHOLE,Nathalie,Mme,EXG,Extrême gauche,1305
7,LIQUORI,Franck,M.,RN,Rassemblement National,1305
8,PAPAZIAN,Pauline,Mme,REG,Régionaliste,1305
9,ZIEBA,Pierre-Frédéric,M.,DIV,Divers,1305
10,DAVI,Hendrik,M.,DVG,Divers gauche,1305
1,GIOVANNINI,Sylvie,Mme,REG,Régionaliste,1306
2,FAYSSAT,Olivier,M.,UXD,Union de l'extrême droite,1306
3,ASTOLFI,Jeanne,Mme,REC,Reconquête !,1306
4,COURONNE,Caroline,Mme,ECO,Ecologistes,1306
5,SLAMA,Alain,M.,EXD,Extrême droite,1306
6,PERETTI,Sébastien,M.,DIV,Divers,1306
7,BRUN,Stéphanie,Mme,DVD,Divers droite,1306
8,ROYER-PERREAUT,Lionel,M.,ENS,Ensemble ! (Majorité présidentielle),1306
9,MOREL,Corinne,Mme,EXG,Extrême gauche,1306
10,JUSTE,Christine,Mme,UG,Union de la gauche,1306
11,ZOUAGHI,Serena,Mme,LR,Les Républicains,1306
12,JANNONE,Tess,Mme,DVC,Divers centre,1306
1,SELLOUM,Arezki,M.,RN,Rassemblement National,1307
2,DELOGU,Sébastien,M.,UG,Union de la gauche,1307
3,ALBACETE,Ines,Mme,REC,Reconquête !,1307
4,ATIA,Hayat,Mme,ENS,Ensemble ! (Majorité présidentielle),1307
5,BENAMRANE,Hakim,M.,DVG,Divers gauche,1307
6,PÉCOUT,Danièle,Mme,EXG,Extrême gauche,1307
1,TONUSSI,Romain,M.,RN,Rassemblement National,1308
2,BAZZALI,Rémy,M.,EXG,Extrême gauche,1308
3,BEDDOCK,Alexandre,M.,UG,Union de la gauche,1308
4,ZULESI,Jean-Marc,M.,ENS,Ensemble ! (Majorité présidentielle),1308
5,VOLPINI,Stéphanie,Mme,LR,Les Républicains,1308
6,FANFAN,Céline,Mme,ECO,Ecologistes,1308
7,VIGIER,Jeanne,Mme,REC,Reconquête !,1308
1,MICHEL,Aurélien,M.,LR,Les Républicains,1309
2,OUGOURLOU-OGLOU,Bernard,M.,UG,Union de la gauche,1309
3,MAZZONI,Isabelle,Mme,DIV,Divers,1309
4,SANTUNIONE,Robert,M.,REC,Reconquête !,1309
5,MÉLIN,Joëlle,Mme,RN,Rassemblement National,1309
6,CLOREC,Jean-Marie,M.,EXG,Extrême gauche,1309
7,MAS-FRAISSINET,Bertrand,M.,ENS,Ensemble ! (Majorité présidentielle),1309
8,AKSIL,Boualam,M.,ECO,Ecologistes,1309
1,TAHIRI,Hassan,M.,DIV,Divers,1310
2,GONZALEZ,José,M.,RN,Rassemblement National,1310
3,BOURCET-GINER,Véronique,Mme,ENS,Ensemble ! (Majorité présidentielle),1310
4,PIERRACCINI,Stephan,M.,LR,Les Républicains,1310
5,COURTARO,Jean-Philippe,M.,REC,Reconquête !,1310
6,DESBLANCS,Lucie,Mme,ECO,Ecologistes,1310
7,KECHRA,Frédéric,M.,EXG,Extrême gauche,1310
8,BESSAIH,Jimmy,M.,UG,Union de la gauche,1310
1,ZERGUINE,Fayçal,M.,LR,Les Républicains,1311
2,MARIA,Charlotte,Mme,EXG,Extrême gauche,1311
3,BAYLE,Michel,M.,DSV,Droite souverainiste,1311
4,PENA,Marc,M.,UG,Union de la gauche,1311
5,FABRE-AUBRESPY,Hervé,M.,RN,Rassemblement National,1311
6,LAQHILA,Mohamed,M.,ENS,Ensemble ! (Majorité présidentielle),1311
7,MEBTOUCHE,Jean François,M.,REC,Reconquête !,1311
1,ZINI,Raymonde,Mme,REC,Reconquête !,1312
2,CZURKA,Maryline,Mme,UG,Union de la gauche,1312
3,AGHEMO,Maxime,M.,LR,Les Républicains,1312
4,BRETON,Axel,M.,ENS,Ensemble ! (Majorité présidentielle),1312
5,ROCHE,François,M.,EXG,Extrême gauche,1312
6,ALLISIO,Franck,M.,RN,Rassemblement National,1312
1,FOUQUART,Emmanuel,M.,RN,Rassemblement National,1313
2,METRAL,Cyril,M.,EXG,Extrême gauche,1313
3,SCHEREDRE,Olympe,Mme,REC,Reconquête !,1313
4,DHARRÉVILLE,Pierre,M.,UG,Union de la gauche,1313
5,DELESPAUL,Hervé,M.,DSV,Droite souverainiste,1313
6,LOKMANE,Lila,Mme,ENS,Ensemble ! (Majorité présidentielle),1313
1,VERNY,Gérault,M.,UXD,Union de l'extrême droite,1314
2,CIOT,Jean-David,M.,UG,Union de la gauche,1314
3,PETEL,Anne-Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle),1314
4,MUSELET,Gaëtan,M.,LR,Les Républicains,1314
5,BOUCKENHOVE,Baptiste,M.,DVD,Divers droite,1314
6,MOYAL,Charles,M.,REC,Reconquête !,1314
7,DUFAY,Mireille,Mme,DSV,Droite souverainiste,1314
8,SASSOON,Dominique,M.,ECO,Ecologistes,1314
9,ROCHE,Anne,Mme,EXG,Extrême gauche,1314
1,HERMELLIN,Stephane,M.,LR,Les Républicains,1315
2,BAUBRY,Romain,M.,RN,Rassemblement National,1315
3,ELESIKIAN,Martine,Mme,REC,Reconquête !,1315
4,AÏDAROUS,Wassila,Mme,UG,Union de la gauche,1315
5,PTAK,Christophe,M.,DIV,Divers,1315
6,PONCHON,Solange,Mme,ENS,Ensemble ! (Majorité présidentielle),1315
7,TESTUT,Anne,Mme,EXG,Extrême gauche,1315
1,SEDDIK,Florent,M.,REC,Reconquête !,1316
2,DUBOST,Guy,M.,EXG,Extrême gauche,1316
3,KOUKAS,Nicolas,M.,UG,Union de la gauche,1316
4,BOUZIANI,Samir,M.,ECO,Ecologistes,1316
5,TACHE DE LA PAGERIE,Emmanuel,M.,RN,Rassemblement National,1316
6,BERNARDET,Alain,M.,LR,Les Républicains,1316
7,BISCIONE,Marion,Mme,ENS,Ensemble ! (Majorité présidentielle),1316
1,FOURREAU,Emma,Mme,UG,Union de la gauche,1401
2,CASEVITZ,Pierre,M.,EXG,Extrême gauche,1401
3,DAOUDI,Ludivine,Mme,RN,Rassemblement National,1401
4,BRUNEAU,Joël,M.,DVD,Divers droite,1401
5,LELOUP,Matéo,M.,REC,Reconquête !,1401
1,BERKOVICZ,Gregory,M.,RDG,Parti radical de gauche,1402
2,GARCIA,Christophe,M.,EXG,Extrême gauche,1402
3,DELAPORTE,Arthur,M.,UG,Union de la gauche,1402
4,LIBAN,Josseline,Mme,RN,Rassemblement National,1402
5,BAZINCOURT,Cédric,M.,DSV,Droite souverainiste,1402
6,BROU,Camille,Mme,DVD,Divers droite,1402
1,VALETTE,Thierry Paul,M.,DIV,Divers,1403
2,TRUFFAUT,Olivier,M.,UG,Union de la gauche,1403
3,PORTE,Nathalie,Mme,DVD,Divers droite,1403
4,PATRIER-LEITUS,Jérémie,M.,ENS,Ensemble ! (Majorité présidentielle),1403
5,LANGEVIN,Michel,M.,EXG,Extrême gauche,1403
6,MAFIODO,Steven,M.,DSV,Droite souverainiste,1403
7,FAUVAGE,Edouard,M.,RN,Rassemblement National,1403
1,DEUTSCH,Pascale,Mme,REC,Reconquête !,1404
2,GAUGAIN,Sophie,Mme,DVD,Divers droite,1404
3,BUISSON,François,M.,DSV,Droite souverainiste,1404
4,POIROT-BOURDAIN,Patrick,M.,EXG,Extrême gauche,1404
